"","df","AIC","ajd_r2","dev_explained"
"g2",56.7592476105063,3332.67435620171,0.398031424399668,0.435516360411499
"g1",59.3002010062566,3333.09940337623,0.398996324227357,0.436332947485595
"g3",57.5560071720665,3364.34395565105,0.392023962770599,0.430242476194617
"g4",55.7817984232339,3368.81194623749,0.3903339259018,0.428836787434171
"g0",43.2825971360688,3626.24682616408,0.334053104291152,0.379311702557258
