"","df","AIC","ajd_r2","dev_explained"
"g2",56.7592476105646,3332.67435620174,0.398031424399682,0.435516360411515
"g1",59.3002010062515,3333.09940337623,0.398996324227356,0.436332947485593
"g3",57.5560071720613,3364.34395565111,0.392023962770615,0.430242476194605
"g4",55.7817984231604,3368.81194623737,0.390333925901802,0.428836787434166
"g0",43.2825971360716,3626.24682616408,0.334053104291153,0.379311702557259
